Aircraft Navigation Systems,AVT-150-001,M T W TH F,2023 Summer 1,5/30/2023 - 6/16/2023,08:00 AM - 10:25 AM,Thornley,1000,134,LEC,12,0
Aircraft Navigation Systems,AVT-150-001,M T W TH F,2023 Summer 1,5/30/2023 - 6/16/2023,10:30 AM - 01:30 PM,Thornley,1000,136,LAB,12,0
Aircraft Pulse Systems,AVT-155-001,M T W TH F,2023 Summer 1,6/19/2023 - 7/13/2023,08:00 AM - 10:25 AM,Thornley,1000,134,LEC,12,0
Aircraft Pulse Systems,AVT-155-001,M T W TH F,2023 Summer 1,6/19/2023 - 7/13/2023,10:30 AM - 01:30 PM,Thornley,1000,136,LAB,12,0
Introductory Biology,BIO-100-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,35,0
Biological Science I,BIO-101-002,M T W TH,2023 Summer 1,5/30/2023 - 6/28/2023,01:00 PM - 03:20 PM,Thornley,630,227,LEC,24,0
Biological Science I,BIO-101-002,M T W TH,2023 Summer 1,5/30/2023 - 6/28/2023,03:30 PM - 05:50 PM,Thornley,630,226,LAB,24,0
Biological Science I,BIO-101-W03,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Biological Science I,BIO-101-W04,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Biological Science I,BIO-101-W05,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Biological Science II,BIO-102-W03,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Biological Science II,BIO-102-W04,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Biological Science II,BIO-102-W05,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Basic Anatomy and Physiology,BIO-112-W02,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Anatomy and Physiology I,BIO-210-002,M T W TH,2023 Summer 1,5/30/2023 - 6/28/2023,01:00 PM - 03:20 PM,Thornley,920,747,LEC,24,0
Anatomy and Physiology I,BIO-210-002,M T W TH,2023 Summer 1,5/30/2023 - 6/28/2023,03:30 PM - 05:50 PM,Thornley,630,224,LAB,24,0
Anatomy and Physiology I,BIO-210-W03,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Anatomy and Physiology I,BIO-210-W04,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Anatomy and Physiology I,BIO-210-W05,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Anatomy and Physiology I,BIO-210-W06,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Anatomy and Physiology I,BIO-210-W07,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Anatomy and Physiology II,BIO-211-W03,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Anatomy and Physiology II,BIO-211-W04,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Anatomy and Physiology II,BIO-211-W05,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Anatomy and Physiology II,BIO-211-W06,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Anatomy and Physiology II,BIO-211-W07,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Microbiology,BIO-225-W05,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Microbiology,BIO-225-W06,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,30,0
Microbiology,BIO-225-W07,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
