Engine Reconditioning,AUT-103-001,M T W TH,2023 Spring 1,1/9/2023 - 2/28/2023,12:00 PM - 12:55 PM,Thornley,800,811,HYB,16,0
Engine Reconditioning,AUT-103-001,M T W TH,2023 Spring 1,1/9/2023 - 2/28/2023,01:05 PM - 03:55 PM,Thornley,800,811,OL,16,0
Electrical Systems,AUT-131-001,M T W TH,2023 Spring 1,1/9/2023 - 2/28/2023,06:00 PM - 06:45 PM,Thornley,800,811,HYB,16,0
Electrical Systems,AUT-131-001,M T W TH,2023 Spring 1,1/9/2023 - 2/28/2023,06:50 PM - 08:55 PM,Thornley,800,811,OL,16,0
Ignition and Fuel Systems,AUT-149-001,M T W TH,2023 Spring 1,1/9/2023 - 2/28/2023,08:00 AM - 08:55 AM,Thornley,800,816,HYB,20,0
Ignition and Fuel Systems,AUT-149-001,M T W TH,2023 Spring 1,1/9/2023 - 2/28/2023,09:05 AM - 11:55 AM,Thornley,800,811,OL,20,0
Automatic Transmission,AUT-152-001,M T W TH,2023 Spring 1,1/9/2023 - 2/28/2023,06:00 PM - 06:55 PM,Thornley,800,816,HYB,16,0
Automatic Transmission,AUT-152-001,M T W TH,2023 Spring 1,1/9/2023 - 2/28/2023,07:00 PM - 09:55 PM,Thornley,800,816,OL,16,0
Avionics Aircraft Electricity,AVT-105-001,M T W TH F,2023 Spring 1,1/9/2023 - 2/3/2023,08:00 AM - 10:25 AM,Thornley,1000,134,LEC,12,0
Avionics Aircraft Electricity,AVT-105-001,M T W TH F,2023 Spring 1,1/9/2023 - 2/3/2023,10:30 AM - 01:00 PM,Thornley,1000,130,LAB,12,0
Aviation Electronic Comms,AVT-120-001,M T W TH F,2023 Spring 1,2/27/2023 - 4/3/2023,08:00 AM - 10:25 AM,Thornley,1000,134,LEC,12,0
Aviation Electronic Comms,AVT-120-001,M T W TH F,2023 Spring 1,2/27/2023 - 4/3/2023,10:30 AM - 01:00 PM,Thornley,1000,130,LAB,12,0
Avionics Standard Practices,AVT-140-001,M T W TH F,2023 Spring 1,2/6/2023 - 2/24/2023,08:00 AM - 10:25 AM,Thornley,1000,134,LEC,12,0
Avionics Standard Practices,AVT-140-001,M T W TH F,2023 Spring 1,2/6/2023 - 2/24/2023,10:30 AM - 01:00 PM,Thornley,1000,130,LAB,12,0
Personal Finance,BAF-101-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Personal Finance,BAF-101-W04,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Introductory Biology,BIO-100-001,M T W TH,2023 Spring 1,1/9/2023 - 2/28/2023,08:00 AM - 09:55 AM,Thornley,300,347,LEC,35,0
Biological Science I,BIO-101-001,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,08:00 AM - 09:55 AM,Thornley,630,226,LAB,24,0
Biological Science I,BIO-101-001,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,10:15 AM - 12:10 PM,Thornley,,,LEC,24,0
Biological Science I,BIO-101-002,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,08:00 AM - 11:00 AM,Thornley,630,226,LAB,24,0
Biological Science I,BIO-101-002,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,11:30 AM - 02:30 PM,Thornley,,,LEC,24,0
Biological Science I,BIO-101-003,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,02:50 PM - 05:50 PM,Thornley,630,226,HYB,24,0
Biological Science I,BIO-101-004,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,12:40 PM - 02:35 PM,Thornley,630,107,LEC,24,0
Biological Science I,BIO-101-004,M W,2023 Spring 1,1/9/2023 - 2/28/2023,02:50 PM - 05:50 PM,Thornley,630,226,LAB,24,0
Biological Science I,BIO-101-005,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,08:00 AM - 09:55 AM,Thornley,630,107,LEC,24,0
Biological Science I,BIO-101-005,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,10:15 AM - 12:10 PM,Thornley,630,226,LAB,24,0
Biological Science I,BIO-101-B01,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,08:00 AM - 09:55 AM,Berkeley,6100,149,LEC,24,0
Biological Science I,BIO-101-B01,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,10:15 AM - 12:10 PM,Berkeley,6100,185,LAB,24,0
Biological Science I,BIO-101-MP1,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,09:00 AM - 10:45 AM,Mt. Pleasant,9100,127,LAB,16,0
Biological Science I,BIO-101-MP1,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,11:00 AM - 12:45 PM,Mt. Pleasant,9100,108,LEC,16,0
Biological Science I,BIO-101-MP2,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,09:00 AM - 10:45 AM,Mt. Pleasant,9100,127,LAB,16,0
Biological Science I,BIO-101-MP2,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,11:00 AM - 12:45 PM,Mt. Pleasant,9100,108,LEC,16,0
Biological Science I,BIO-101-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Biological Science I,BIO-101-W02,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Biological Science I,BIO-101-W03,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Biological Science I,BIO-101-W04,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Biological Science II,BIO-102-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Biological Science II,BIO-102-W02,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Biological Science II,BIO-102-W03,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Biological Science II,BIO-102-W04,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Basic Anatomy and Physiology,BIO-112-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Anatomy and Physiology I,BIO-210-001,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,08:00 AM - 09:55 AM,Thornley,970,206,LEC,24,0
Anatomy and Physiology I,BIO-210-001,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,10:15 AM - 12:10 PM,Thornley,970,332,LAB,24,0
Anatomy and Physiology I,BIO-210-002,M W,2023 Spring 1,1/9/2023 - 2/28/2023,08:00 AM - 11:00 AM,Off Site,,,SOM,24,0
Anatomy and Physiology I,BIO-210-002,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,12:40 PM - 02:35 PM,Off Site,,,SOM,24,0
Anatomy and Physiology I,BIO-210-003,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,10:15 AM - 12:10 AM,Thornley,970,206,LEC,24,0
Anatomy and Physiology I,BIO-210-003,M W,2023 Spring 1,1/9/2023 - 2/28/2023,02:50 PM - 05:50 PM,Thornley,970,332,LAB,24,0
Anatomy and Physiology I,BIO-210-004,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,10:15 AM - 12:10 PM,Thornley,,,LEC,24,0
Anatomy and Physiology I,BIO-210-004,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,12:40 PM - 02:35 PM,Thornley,,,LAB,24,0
Anatomy and Physiology I-Lab,BIO-210L-004,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,12:40 PM - 02:35 PM,Thornley,970,332,LAB,24,0
Anatomy and Physiology I,BIO-210-005,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,08:00 AM - 11:00 AM,Thornley,,,LAB,24,0
Anatomy and Physiology I,BIO-210-005,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,11:30 AM - 02:30 PM,Thornley,970,206,LEC,24,0
Anatomy and Physiology I,BIO-210-006,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,11:30 AM - 02:30 PM,Thornley,970,206,LEC,24,0
Anatomy and Physiology I-Lab,BIO-210L-006,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,02:50 PM - 05:50 PM,Thornley,970,332,LAB,24,0
Anatomy and Physiology I,BIO-210-007,M T W TH,2023 Spring 1,1/9/2023 - 2/28/2023,01:15 PM - 02:40 PM,Thornley,970,338,LEC,24,0
Anatomy and Physiology I-Lab,BIO-210L-007,M T W TH,2023 Spring 1,1/9/2023 - 2/28/2023,03:00 PM - 04:25 PM,Thornley,630,224,LAB,24,0
Anatomy and Physiology I,BIO-210-008,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,HYB,24,0
Anatomy and Physiology I-Lab,BIO-210L-008,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,11:30 AM - 02:30 PM,Off Site,,,SOM,24,0
Anatomy and Physiology I,BIO-210-009,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,HYB,24,0
Anatomy and Physiology I-Lab,BIO-210L-009,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,06:00 PM - 09:00 PM,Thornley,970,332,LAB,24,0
Anatomy and Physiology I,BIO-210-010,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,HYB,24,0
Anatomy and Physiology I-Lab,BIO-210L-010,M W,2023 Spring 1,1/9/2023 - 2/28/2023,06:30 PM - 09:30 PM,Thornley,970,332,LAB,24,0
Anatomy and Physiology I,BIO-210-B01,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,10:15 AM - 12:10 PM,Berkeley,6100,149,LEC,24,0
Anatomy and Physiology I-Lab,BIO-210L-B01,M W F,2023 Spring 1,1/9/2023 - 2/28/2023,08:00 AM - 09:55 AM,Berkeley,6100,185,LAB,24,0
Anatomy and Physiology I,BIO-210-MP1,M W,2023 Spring 1,1/9/2023 - 2/28/2023,11:00 AM - 12:45 PM,Mt. Pleasant,9100,108,HYB,16,0
Anatomy and Physiology I-Lab,BIO-210L-MP1,M W,2023 Spring 1,1/9/2023 - 2/28/2023,09:00 AM - 10:45 AM,Mt. Pleasant,9100,127,HYB,16,0
Anatomy and Physiology I,BIO-210-MP2,M W,2023 Spring 1,1/9/2023 - 2/28/2023,11:00 AM - 12:45 PM,Mt. Pleasant,9100,108,HYB,16,0
Anatomy and Physiology I-Lab,BIO-210L-MP2,M W,2023 Spring 1,1/9/2023 - 2/28/2023,01:00 PM - 02:45 PM,Mt. Pleasant,9100,127,HYB,16,0
